ts_code,extname,index_code,index_name,exchange,mgr_name,list_date,etf_name,total_share,total_size,size_yi,etf_type
159841.SZ,证券ETF天弘,399975.SZ,中证全指证券公司指数,SZ,天弘基金,20210209,证券ETF,1079263.8465,1053037.735,105.3037735,宽基指数ETF
512660.SH,军工ETF国泰,399967.SZ,中证军工指数,SH,国泰基金,20160808,军工ETF国泰,734308.0,1017750.888,101.7750888,其他行业ETF
159842.SZ,券商ETF银华,399975.SZ,中证全指证券公司指数,SZ,银华基金,20210319,券商ETF,989225.0631,1012076.1621,101.20761621,宽基指数ETF
515790.SH,光伏ETF华泰柏瑞,931151.CSI,中证光伏产业指数,SH,华泰柏瑞基金,20201218,光伏ETF华泰柏瑞,929549.4,995919.2272,99.59192272,新能源ETF
515050.SH,通信ETF华夏,931079.CSI,中证5G通信主题指数,SH,华夏基金,20191016,通信ETF华夏,340306.85,980458.0655,98.04580655000001,其他行业ETF
512710.SH,军工龙头ETF富国,931066.CSI,中证军工龙头指数,SH,富国基金,20190826,军工龙头ETF富国,1247165.84,978401.6015,97.84016015,其他行业ETF
159816.SZ,0-4年地方债ETF鹏华,931161.CSI,中证0-4年期地方政府债指数,SZ,鹏华基金,20200904,0-4地债ETF,8474.7484,966051.8247,96.60518247,其他债券ETF
515080.SH,中证红利ETF招商,000922.CSI,中证红利指数,SH,招商基金,20191227,中证红利ETF招商,589514.89,937446.5781,93.74465781,红利价值ETF
588050.SH,科创50ETF工银,000688.SH,上证科创板50成份指数,SH,工银瑞信基金,20201116,科创50ETF工银,619124.13,904416.5291,90.44165291,宽基指数ETF
513040.SH,港股通互联网ETF易方达,931637.CSI,中证港股通互联网指数,SH,易方达基金,20230612,港股通互联网ETF易方达,751684.13,887363.1155,88.73631155,港股ETF
515330.SH,沪深300ETF天弘,000300.SH,沪深300指数,SH,天弘基金,20191226,沪深300ETF天弘,650370.95,883528.9356,88.35289356,宽基指数ETF
515220.SH,煤炭ETF国泰,399998.SZ,中证煤炭指数,SH,国泰基金,20200302,煤炭ETF国泰,729917.69,861010.9071,86.10109071,其他行业ETF
159567.SZ,港股创新药ETF银华,987018.SZ,国证港股通创新药指数,SZ,银华基金,20240111,港股创新药ETF,994372.9726,822445.8856,82.24458856,港股ETF
159566.SZ,储能电池ETF易方达,980027.SZ,国证新能源电池指数,SZ,易方达基金,20240208,储能电池ETF易方达,344673.9776,806674.9772,80.66749772,新能源ETF
563020.SH,红利低波ETF易方达,H30269.CSI,中证红利低波动指数,SH,易方达基金,20231214,红利低波ETF易方达,673891.0,806445.3597,80.64453597,红利价值ETF
516160.SH,新能源ETF南方,399808.SZ,中证新能源指数,SH,南方基金,20210204,新能源ETF南方,246164.2,786076.1399,78.60761398999999,新能源ETF
516120.SH,化工ETF富国,000813.CSI,中证细分化工产业主题指数,SH,富国基金,20210309,化工ETF富国,784358.2,764906.1166,76.49061166,其他行业ETF
159545.SZ,恒生红利低波ETF易方达,HSHYLV.HI,恒生港股通高股息低波动指数,SZ,易方达基金,20240415,恒生红利低波ETF易方达,514180.3689,734249.5668,73.42495668000001,红利价值ETF
159796.SZ,电池ETF汇添富,931719.CSI,中证电池主题指数,SZ,汇添富基金,20220314,电池ETF汇添富,687246.755,729100.0824,72.91000824,新能源ETF
159980.SZ,有色ETF大成,IMCI.SHF,上海期货交易所有色金属期货价格指数,SZ,大成基金,20191224,有色ETF大成,320882.4777,678088.8519,67.80888519,其他行业ETF
159157.SZ,有色金属ETF天弘,H11059.CSI,中证工业有色金属主题指数,SZ,天弘基金,20260206,有色金属ETF天弘,720675.876,673183.3358,67.31833358,其他行业ETF
159691.SZ,港股红利ETF工银,930839.CSI,中证港股通高股息精选指数,SZ,工银瑞信基金,20230421,港股红利ETF工银,494630.1386,664288.2761,66.42882761,红利价值ETF
513060.SH,恒生医疗ETF博时,HSHCI.HI,恒生医疗保健指数,SH,博时基金,20210329,恒生医疗ETF博时,1051039.33,649332.0981,64.93320981,医药医疗ETF
159217.SZ,港股通创新药ETF工银,987018.SZ,国证港股通创新药指数,SZ,工银瑞信基金,20250403,港股通创新药ETF工银,452715.7596,629274.9058,62.92749058,港股ETF
159892.SZ,恒生医药ETF华夏,HSBIO.HI,恒生生物科技指数,SZ,华夏基金,20211019,恒生医药ETF华夏,758626.6022,627991.1013,62.799110129999995,医药医疗ETF
511580.SH,国债政金债ETF招商,932200.CSI,中证国债及政策性金融债0-3年指数,SH,招商基金,20221214,国债政金债ETF招商,5363.08,584932.3648,58.49323648,金融ETF
516020.SH,化工ETF华宝,000813.CSI,中证细分化工产业主题指数,SH,华宝基金,20210308,化工ETF华宝,600932.62,573109.4397,57.31094397,其他行业ETF
159399.SZ,现金流ETF国泰,FCFQCD.OTH,富时中国A股自由现金流聚焦指数,SZ,国泰基金,20250227,现金流ETF国泰,498519.4835,560635.0111,56.06350111,货币ETF
512980.SH,传媒ETF广发,399971.SZ,中证传媒指数,SH,广发基金,20180119,传媒ETF广发,540592.44,556323.68,55.63236800000001,其他行业ETF
512680.SH,军工ETF广发,399967.SZ,中证军工指数,SH,广发基金,20161014,军工ETF广发,390813.01,554993.5555,55.499355550000004,其他行业ETF
511270.SH,10年地方债ETF海富通,950109.CSI,上证10年期地方政府债指数,SH,海富通基金,20181122,10年地方债ETF海富通,4558.75,542701.8643,54.27018643,其他债券ETF
515030.SH,新能源车ETF华夏,399976.SZ,中证新能源汽车指数,SH,华夏基金,20200304,新能源车ETF华夏,267038.4,539631.1987,53.96311986999999,新能源ETF
159650.SZ,国开债ETF博时,CBA11901.OTH,中债-0-3年国开行债券指数,SZ,博时基金,20221028,国开债ETF博时,4813.8196,519734.6235,51.97346235,其他债券ETF
159736.SZ,食品饮料ETF天弘,930653.CSI,中证食品饮料指数,SZ,天弘基金,20210927,食品饮料ETF天弘,790239.4457,506069.341,50.606934100000004,消费ETF
515290.SH,银行ETF天弘,399986.SZ,中证银行指数,SH,天弘基金,20201228,银行ETF天弘,334487.29,477881.9912,47.78819912,金融ETF
515170.SH,食品饮料ETF华夏,000815.CSI,中证细分食品饮料产业主题指数,SH,华夏基金,20210113,食品饮料ETF华夏,923575.79,469915.362,46.9915362,消费ETF
159652.SZ,有色ETF汇添富,000811.CSI,中证细分有色金属产业主题指数,SZ,汇添富基金,20230208,有色ETF汇添富,233332.0287,437590.8866,43.75908866,其他行业ETF
561910.SH,电池ETF招商,931719.CSI,中证电池主题指数,SH,招商基金,20210812,电池ETF招商,483307.66,437490.0938,43.74900938,新能源ETF
510230.SH,金融ETF国泰,000018.SH,上证180金融股指数,SH,国泰基金,20110523,金融ETF国泰,326080.8,423905.04,42.390504,金融ETF
159232.SZ,自由现金流ETF南方,932365.CSI,中证全指自由现金流指数,SZ,南方基金,20250430,自由现金流ETF南方,312294.8566,414415.2747,41.441527470000004,货币ETF
511010.SH,国债ETF国泰,000140.CSI,上证5年期国债指数,SH,国泰基金,20130325,国债ETF国泰,2863.63,402984.3318,40.298433179999996,国债ETF
159993.SZ,证券ETF鹏华,399437.SZ,国证证券龙头指数,SZ,鹏华基金,20200207,证券ETF鹏华,340219.7982,394654.9659,39.46549659,金融ETF
159859.SZ,生物医药ETF天弘,399441.SZ,国证生物医药指数,SZ,天弘基金,20210707,生物医药ETF,979244.0054,385430.4405,38.543044050000006,医药医疗ETF
159235.SZ,中证现金流ETF大成,932365.CSI,中证全指自由现金流指数,SZ,大成基金,20250430,中证现金流ETF大成,282272.9545,382338.7169,38.23387169,货币ETF
159981.SZ,能源化工ETF建信,000201.CZCE,易盛郑商所能源化工指数A,SZ,建信基金,20200117,能源化工ETF建信,228553.6957,379513.4117,37.95134117,其他行业ETF
563390.SH,全指现金流ETF华泰柏瑞,932365.CSI,中证全指自由现金流指数,SH,华泰柏瑞基金,20250430,全指现金流ETF华泰柏瑞,274784.4,371206.246,37.1206246,货币ETF
512290.SH,生物医药ETF国泰,930726.CSI,中证生物医药指数,SH,国泰基金,20190520,生物医药ETF国泰,377282.07,368038.6593,36.80386593,医药医疗ETF
515650.SH,消费50ETF富国,931139.CSI,中证消费50指数,SH,富国基金,20191111,消费50ETF富国,322518.4,356415.0838,35.641508380000005,消费ETF
561360.SH,石油ETF国泰,H30198.CSI,中证油气产业指数,SH,国泰基金,20231031,石油ETF国泰,224814.8,347990.8289,34.79908289,原油ETF
560280.SH,工程机械ETF广发,931752.CSI,中证工程机械主题指数,SH,广发基金,20231030,工程机械ETF广发,208375.2,347423.971,34.742397100000005,其他行业ETF
560050.SH,中国A50ETF汇添富,746059.MI,MSCI中国A50互联互通(人民币)指数,SH,汇添富基金,20211108,中国A50ETF汇添富,305993.44,333594.0483,33.35940483,全球ETF
159506.SZ,港股通医疗ETF富国,HSSCHI.HI,恒生港股通创新药及医疗保健指数,SZ,富国基金,20230703,港股通医疗ETF富国,213953.6979,311452.398,31.1452398,医药医疗ETF
159825.SZ,农业ETF富国,000949.CSI,中证农业主题指数,SZ,富国基金,20201229,农业ETF富国,354807.7407,299989.9448,29.99899448,其他行业ETF
159625.SZ,绿色电力ETF嘉实,399438.SZ,国证绿色电力指数,SZ,嘉实基金,20220429,绿色电力ETF嘉实,231811.3777,298781.6847,29.87816847,其他行业ETF
159857.SZ,光伏ETF天弘,931151.CSI,中证光伏产业指数,SZ,天弘基金,20210224,光伏ETF,271551.5725,247247.7068,24.724770680000002,新能源ETF
159697.SZ,石油ETF鹏华,399439.SZ,国证石油天然气指数,SZ,鹏华基金,20230504,石油ETF鹏华,166102.2006,237276.9936,23.72769936,原油ETF
159929.SZ,医药ETF,000933.SH,中证医药卫生指数,SZ,汇添富基金,20130916,医药ETF,179270.4203,236995.4956,23.69954956,医药医疗ETF
513970.SH,恒生消费ETF景顺,HSCGSI.HI,恒生消费指数,SH,景顺长城基金,20230421,恒生消费ETF景顺,261504.1,232477.1449,23.24771449,消费ETF
159828.SZ,医疗ETF国泰,399989.SZ,中证医疗指数,SZ,国泰基金,20210112,医疗ETF国泰,556643.9464,229170.3127,22.917031270000003,医药医疗ETF
563000.SH,中国A50ETF易方达,746059.MI,MSCI中国A50互联互通(人民币)指数,SH,易方达基金,20211108,中国A50ETF易方达,196345.11,218041.2447,21.80412447,全球ETF
159222.SZ,自由现金流ETF易方达,980092.SZ,国证自由现金流指数,SZ,易方达基金,20250417,自由现金流ETF易方达,145137.0402,202916.0959,20.29160959,货币ETF
561160.SH,电池ETF富国,931719.CSI,中证电池主题指数,SH,富国基金,20220708,电池ETF富国,222683.5,202129.813,20.2129813,新能源ETF
513070.SH,港股通消费ETF易方达,931454.CSI,中证港股通消费主题指数,SH,易方达基金,20220324,港股通消费ETF易方达,164076.08,201124.4589,20.11244589,消费ETF
513800.SH,日本东证指数ETF南方,TPX.JT,东证股价指数,SH,南方基金,20190625,日本东证指数ETF南方,107064.44,188133.634,18.8133634,其他海外ETF
515700.SH,新能源车ETF平安,930997.CSI,中证新能源汽车产业指数,SH,平安基金,20200210,新能源车ETF平安,68651.02,185680.4138,18.56804138,新能源ETF
159875.SZ,新能源ETF嘉实,399808.SZ,中证新能源指数,SZ,嘉实基金,20210817,新能源ETF嘉实,244066.2899,183928.3561,18.39283561,新能源ETF
516820.SH,医疗创新ETF平安,931484.CSI,中证医药及医疗器械创新指数,SH,平安基金,20210701,医疗创新ETF平安,501341.52,176823.1541,17.68231541,医药医疗ETF
159259.SZ,成长ETF易方达,980080.SZ,国证成长100指数,SZ,易方达基金,20250828,成长ETF易方达,135369.6403,171797.6105,17.17976105,策略ETF
159840.SZ,锂电池ETF工银,980032.SZ,国证新能源车电池指数,SZ,工银瑞信基金,20210820,锂电池ETF工银,176057.4851,167501.0913,16.75010913,新能源ETF
510150.SH,消费ETF招商,000069.SH,上证消费80指数,SH,招商基金,20110225,消费ETF招商,313717.86,162098.0183,16.20980183,消费ETF
560260.SH,医疗ETF广发,399989.SZ,中证医疗指数,SH,广发基金,20230915,医疗ETF广发,184266.47,153143.8632,15.314386319999999,医药医疗ETF
513200.SH,港股通医药ETF易方达,930965.CSI,中证港股通医药卫生综合指数,SH,易方达基金,20220211,港股通医药ETF易方达,136628.21,152436.0939,15.243609390000001,医药医疗ETF
159847.SZ,医疗ETF易方达,399989.SZ,中证医疗指数,SZ,易方达基金,20210719,医疗ETF易方达,374182.5354,146230.5348,14.62305348,医药医疗ETF
159221.SZ,现金流ETF嘉实,980092.SZ,国证自由现金流指数,SZ,嘉实基金,20250513,现金流ETF嘉实,107501.3233,140181.7256,14.01817256,货币ETF
515710.SH,食品饮料ETF华宝,000815.CSI,中证细分食品饮料产业主题指数,SH,华宝基金,20210107,食品饮料ETF华宝,248809.98,135078.9381,13.50789381,消费ETF
563760.SH,全指现金流ETF中银,932365.CSI,中证全指自由现金流指数,SH,中银基金,20250606,全指现金流ETF中银,93791.32,121966.2325,12.19662325,货币ETF
159588.SZ,石油ETF景顺,399439.SZ,国证石油天然气指数,SZ,景顺长城基金,20240531,石油ETF景顺,84428.4857,113395.8991,11.339589909999999,原油ETF
588020.SH,科创成长ETF易方达,000690.SH,上证科创板成长指数,SH,易方达基金,20230831,科创成长ETF易方达,43979.1,103399.262,10.3399262,策略ETF
510170.SH,大宗商品ETF国联安,000066.SH,上证大宗商品股票指数,SH,国联安基金,20110125,大宗商品ETF国联安,43091.48,62568.829,6.2568829,其他商品ETF
588110.SH,科创成长ETF广发,000690.SH,上证科创板成长指数,SH,广发基金,20230831,科创成长ETF广发,16375.8,37541.5215,3.7541521500000004,策略ETF
159916.SZ,基本面ETF建信,399701.SZ,深证基本面60指数,SZ,建信基金,20111024,基本面ETF建信,4856.6039,25173.7207,2.51737207,策略ETF
159910.SZ,基本面120ETF嘉实,399702.SZ,深证基本面120指数,SZ,嘉实基金,20110927,基本面120ETF嘉实,9890.6143,24250.7972,2.4250797200000003,策略ETF
159612.SZ,标普500ETF国泰,SPX.UN,标普500指数,SZ,国泰基金,20220520,标普500ETF国泰,44489.8651,,,美股ETF
159655.SZ,标普500ETF华夏,SPX.UN,标普500指数,SZ,华夏基金,20221025,标普500ETF华夏,207814.3045,,,美股ETF
513500.SH,标普500ETF博时,SPTR500N.OTH,标普500净总收益指数,SH,博时基金,20140115,标普500ETF博时,989063.86,,,美股ETF
513650.SH,标普500ETF南方,SPX.UN,标普500指数,SH,南方基金,20230404,标普500ETF南方,303273.4,,,美股ETF
