Qlib代码,Tushare代码,ETF名称,ETF类型,资产类别,规模分层,规模(亿元),交易所,管理人,上市日期
SH511100,511100.SH,国债ETF华夏,债券ETF,债券资产,中等规模 (100-500亿),111.13433613,SH,华夏基金,20231225
SH513770,513770.SH,港股互联网ETF华宝,国际ETF,海外资产,中等规模 (100-500亿),110.35400345000001,SH,华宝基金,20220218
SZ159397,159397.SZ,信用债ETF广发,债券ETF,债券资产,中等规模 (100-500亿),109.33018451000001,SZ,广发基金,20250207
SZ159395,159395.SZ,信用债ETF大成,债券ETF,债券资产,中等规模 (100-500亿),109.0851905,SZ,大成基金,20250127
SH512800,512800.SH,银行ETF华宝,行业主题ETF,股票资产,中等规模 (100-500亿),107.57834831999999,SH,华宝基金,20170803
SH560860,560860.SH,工业有色ETF万家,行业主题ETF,股票资产,中等规模 (100-500亿),106.68794688999999,SH,万家基金,20230313
SZ159952,159952.SZ,创业板ETF广发,宽基指数ETF,股票资产,中等规模 (100-500亿),105.82374214999999,SZ,广发基金,20170519
SZ159841,159841.SZ,证券ETF天弘,宽基指数ETF,股票资产,中等规模 (100-500亿),105.3037735,SZ,天弘基金,20210209
SZ159116,159116.SZ,科创债ETF工银,行业主题ETF,股票资产,中等规模 (100-500亿),104.4550682,SZ,工银瑞信基金,20250924
SH551510,551510.SH,科创债ETF华泰柏瑞,行业主题ETF,股票资产,中等规模 (100-500亿),103.63609429,SH,华泰柏瑞基金,20250924
SH551580,551580.SH,泰康中证AAA科技创新公司债ETF,行业主题ETF,股票资产,中等规模 (100-500亿),102.83984874,SH,泰康基金,20250924
SH515070,515070.SH,人工智能ETF华夏,其他ETF,其他资产,中等规模 (100-500亿),102.62399992,SH,华夏基金,20191224
SZ159262,159262.SZ,港股通科技ETF广发,行业主题ETF,股票资产,中等规模 (100-500亿),102.57865139,SZ,广发基金,20250707
SH512660,512660.SH,军工ETF国泰,行业主题ETF,股票资产,中等规模 (100-500亿),101.7750888,SH,国泰基金,20160808
SZ159842,159842.SZ,券商ETF银华,宽基指数ETF,股票资产,中等规模 (100-500亿),101.20761621,SZ,银华基金,20210319
SZ159111,159111.SZ,科创债ETF天弘,行业主题ETF,股票资产,中等规模 (100-500亿),101.15601616,SZ,天弘基金,20250924
SH551500,551500.SH,易方达中证AAA科技创新公司债ETF,行业主题ETF,股票资产,中等规模 (100-500亿),100.85335773,SH,易方达基金,20250717
SH551060,551060.SH,科创债ETF中银,行业主题ETF,股票资产,中小规模 (50-100亿),99.60841117999999,SH,中银基金,20250924
SH515790,515790.SH,光伏ETF华泰柏瑞,行业主题ETF,股票资产,中小规模 (50-100亿),99.59192272,SH,华泰柏瑞基金,20201218
SZ159398,159398.SZ,信用债ETF天弘,债券ETF,债券资产,中小规模 (50-100亿),98.13593659,SZ,天弘基金,20250206
SH515050,515050.SH,通信ETF华夏,行业主题ETF,股票资产,中小规模 (50-100亿),98.04580655000001,SH,华夏基金,20191016
SH512710,512710.SH,军工龙头ETF富国,行业主题ETF,股票资产,中小规模 (50-100亿),97.84016015,SH,富国基金,20190826
SZ159869,159869.SZ,游戏ETF华夏,其他ETF,其他资产,中小规模 (50-100亿),97.26997820999999,SZ,华夏基金,20210305
SZ159816,159816.SZ,0-4年地方债ETF鹏华,债券ETF,债券资产,中小规模 (50-100亿),96.60518247,SZ,鹏华基金,20200904
SH518660,518660.SH,黄金ETF工银,商品ETF,商品资产,中小规模 (50-100亿),96.48502591,SH,工银瑞信基金,20200529
SH511190,511190.SH,信用债ETF海富通,债券ETF,债券资产,中小规模 (50-100亿),96.25375705,SH,海富通基金,20250205
SH512760,512760.SH,芯片ETF国泰,行业主题ETF,股票资产,中小规模 (50-100亿),95.57209819,SH,国泰基金,20190612
SH516150,516150.SH,稀土ETF嘉实,其他ETF,其他资产,中小规模 (50-100亿),94.15841415,SH,嘉实基金,20210317
SH515080,515080.SH,中证红利ETF招商,宽基指数ETF,股票资产,中小规模 (50-100亿),93.74465781,SH,招商基金,20191227
SH515120,515120.SH,创新药ETF广发,其他ETF,其他资产,中小规模 (50-100亿),92.83945937,SH,广发基金,20210104
SH563220,563220.SH,A500ETF富国,其他ETF,其他资产,中小规模 (50-100亿),91.82511409,SH,富国基金,20241015
SH511120,511120.SH,科创债ETF广发,行业主题ETF,股票资产,中小规模 (50-100亿),91.09021525,SH,广发基金,20250717
SZ159852,159852.SZ,软件ETF嘉实,其他ETF,其他资产,中小规模 (50-100亿),90.92174304,SZ,嘉实基金,20210209
SH588050,588050.SH,科创50ETF工银,宽基指数ETF,股票资产,中小规模 (50-100亿),90.44165291,SH,工银瑞信基金,20201116
SH588220,588220.SH,科创100ETF鹏华,其他ETF,其他资产,中小规模 (50-100亿),88.87885318,SH,鹏华基金,20230915
SH513040,513040.SH,港股通互联网ETF易方达,国际ETF,海外资产,中小规模 (50-100亿),88.73631155,SH,易方达基金,20230612
SZ159351,159351.SZ,A500ETF嘉实,其他ETF,其他资产,中小规模 (50-100亿),88.56291453,SZ,嘉实基金,20241015
SH515330,515330.SH,沪深300ETF天弘,宽基指数ETF,股票资产,中小规模 (50-100亿),88.35289356,SH,天弘基金,20191226
SH515980,515980.SH,人工智能ETF华富,其他ETF,其他资产,中小规模 (50-100亿),87.66214226000001,SH,华富基金,20200210
SZ159113,159113.SZ,科创债ETF大成,行业主题ETF,股票资产,中小规模 (50-100亿),87.57112783999999,SZ,大成基金,20250924
SZ159770,159770.SZ,机器人ETF天弘,其他ETF,其他资产,中小规模 (50-100亿),86.69593946,SZ,天弘基金,20211108
SH515220,515220.SH,煤炭ETF国泰,行业主题ETF,股票资产,中小规模 (50-100亿),86.10109071,SH,国泰基金,20200302
SZ159396,159396.SZ,信用债ETF博时,债券ETF,债券资产,中小规模 (50-100亿),85.76545467,SZ,博时基金,20250206
SH518680,518680.SH,金ETF富国,商品ETF,商品资产,中小规模 (50-100亿),84.64382962,SH,富国基金,20200728
SH588170,588170.SH,科创半导体ETF华夏,行业主题ETF,股票资产,中小规模 (50-100亿),82.96452928000001,SH,华夏基金,20250408
SZ159567,159567.SZ,港股创新药ETF银华,国际ETF,海外资产,中小规模 (50-100亿),82.24458856,SZ,银华基金,20240111
SZ159566,159566.SZ,储能电池ETF易方达,行业主题ETF,股票资产,中小规模 (50-100亿),80.66749772,SZ,易方达基金,20240208
SH563020,563020.SH,红利低波ETF易方达,宽基指数ETF,股票资产,中小规模 (50-100亿),80.64453597,SH,易方达基金,20231214
SH518600,518600.SH,金ETF广发,商品ETF,商品资产,中小规模 (50-100亿),79.27067902,SH,广发基金,20200805
SH516160,516160.SH,新能源ETF南方,行业主题ETF,股票资产,中小规模 (50-100亿),78.60761398999999,SH,南方基金,20210204
SH562800,562800.SH,稀有金属ETF嘉实,其他ETF,其他资产,中小规模 (50-100亿),77.7438573,SH,嘉实基金,20210927
SZ159851,159851.SZ,金融科技ETF华宝,行业主题ETF,股票资产,中小规模 (50-100亿),76.77402878000001,SZ,华宝基金,20210319
SH516120,516120.SH,化工ETF富国,行业主题ETF,股票资产,中小规模 (50-100亿),76.49061166,SH,富国基金,20210309
SH551000,551000.SH,科创债ETF博时,行业主题ETF,股票资产,中小规模 (50-100亿),75.70091307,SH,博时基金,20250717
SH510210,510210.SH,上证指数ETF富国,其他ETF,其他资产,中小规模 (50-100亿),75.34682259,SH,富国基金,20110325
SH513260,513260.SH,恒生科技ETF汇添富,行业主题ETF,股票资产,中小规模 (50-100亿),75.24701021,SH,汇添富基金,20220913
SH511150,511150.SH,科创债ETF永赢,行业主题ETF,股票资产,中小规模 (50-100亿),73.45542585,SH,永赢基金,20250924
